PETROL (GHp/Lt),DIESEL (GHp/Lt),LPG (GHp/Kg),KEROSENE (GHp/Lt),MGO LOCAL (GHp/Lt)
488.93,490.96,479.93,430.09,404.49
490.0,490.0,479.93,430.09,404.49
490.0,490.0,471.78,430.09,404.49
510.0,515.0,602.0,490.0,404.49
510.0,515.0,507.15,490.0,404.49
510.0,515.0,490.0,490.0,404.49
491.96,489.96,490.0,490.0,404.49
494.9,520.23,490.0,490.0,404.49
494.9,520.23,501.89,490.0,404.49
476.0,480.0,491.4,490.0,404.49
476.0,480.0,492.0,490.0,404.49
495.0,498.0,492.0,490.0,404.49
495.0,498.0,472.0,490.0,404.49
494.93,522.38,472.0,477.63,404.49
530.63,528.63,472.0,477.63,404.49
530.63,528.63,504.42,477.63,404.49
495.5,509.5,504.42,477.63,404.49
495.5,509.5,486.99,477.63,404.49
503.5,501.5,486.99,477.63,404.49
493.0,493.0,493.28,477.63,404.49
449.17,492.55,493.28,477.63,404.49
504.32,526.9,493.28,477.63,404.49
492.36,492.36,484.5,477.63,393.16
505.0,505.0,475.0,420.0,405.0
500.0,500.0,510.0,420.0,434.0
498.96,514.96,510.0,420.0,434.0
517.63,522.63,510.0,420.0,434.0
517.63,522.63,509.65,420.0,434.0
517.63,522.63,459.35,420.0,434.0
517.63,522.63,500.06,420.0,434.0
517.63,522.63,500.06,420.0,434.0
484.99,492.02,498.15,420.0,434.0
493.63,507.63,498.15,420.0,434.0
496.98,494.98,497.53,420.0,434.0
492.0,492.0,487.93,420.0,434.0
499.18,505.21,487.93,420.0,405.1
489.0,489.0,487.93,420.0,405.1
489.0,489.0,520.0,420.0,405.1
489.0,489.0,503.65,420.0,405.1
504.32,526.9,503.65,420.0,405.1
486.0,509.86,519.54,427.58,409.66
494.0,494.0,519.54,427.58,409.66
489.0,492.0,511.78,462.63,445.71
524.64,537.93,511.78,454.64,445.71
478.3,519.9,492.89,454.64,445.71
495.96,495.96,492.89,454.64,395.76
495.96,495.96,457.78,454.64,395.76
494.0,494.0,470.0,460.0,455.0
